Last state: ((4, 2, 2, 3), -1) wins so far:660, lost: 346, games:1006,eta:3.6580385215812284e-05
Last state: ((6, 1, 2, 2), 1) wins so far:661, lost: 346, games:1007,eta:3.621458136365416e-05
Last state: ((1, 0, 2, 2), -1) wins so far:662, lost: 346, games:1008,eta:3.585243555001762e-05
Last state: ((1, 0, 1, 2), 1) wins so far:663, lost: 346, games:1009,eta:3.549391119451744e-05
Last state: ((1, 1, 1, 2), -1) wins so far:664, lost: 346, games:1010,eta:3.513897208257227e-05
Last state: ((1, 0, 2, 2), -1) wins so far:665, lost: 346, games:1011,eta:3.4787582361746545e-05
Last state: ((4, 5, 3, 1), -1) wins so far:666, lost: 346, games:1012,eta:3.4439706538129076e-05
Last state: ((1, 0, 2, 2), -1) wins so far:667, lost: 346, games:1013,eta:3.409530947274779e-05
Last state: ((5, 5, 3, 1), 1) wins so far:668, lost: 346, games:1014,eta:3.375435637802031e-05
Last state: ((1, 0, 2, 2), -1) wins so far:669, lost: 346, games:1015,eta:3.341681281424011e-05
Last state: ((5, 5, 3, 1), 1) wins so far:670, lost: 346, games:1016,eta:3.3082644686097705e-05
Last state: ((5, 5, 3, 1), 1) wins so far:671, lost: 346, games:1017,eta:3.275181823923673e-05
Last state: ((1, 0, 2, 2), -1) wins so far:672, lost: 346, games:1018,eta:3.242430005684436e-05
Last state: ((1, 1, 2, 1), -1) wins so far:673, lost: 346, games:1019,eta:3.210005705627592e-05
Last state: ((2, 1, 1, 2), -1) wins so far:674, lost: 346, games:1020,eta:3.1779056485713156e-05
Last state: ((6, 1, 2, 2), 1) wins so far:675, lost: 346, games:1021,eta:3.146126592085602e-05
Last state: ((1, 0, 2, 2), -1) wins so far:676, lost: 346, games:1022,eta:3.1146653261647464e-05
Last state: ((5, 3, 3, 1), 1) wins so far:677, lost: 346, games:1023,eta:3.0835186729030986e-05
Last state: ((2, 0, 1, 2), -1) wins so far:678, lost: 346, games:1024,eta:3.052683486174068e-05
Last state: ((5, 5, 2, 1), 1) wins so far:679, lost: 346, games:1025,eta:3.022156651312327e-05
Last state: ((5, 5, 2, 1), 1) wins so far:680, lost: 346, games:1026,eta:2.991935084799204e-05
Last state: ((6, 2, 3, 1), -1) wins so far:681, lost: 346, games:1027,eta:2.9620157339512117e-05
Last state: ((4, 4, 3, 1), 1) wins so far:682, lost: 346, games:1028,eta:2.9323955766116997e-05
Last state: ((5, 5, 3, 1), 1) wins so far:683, lost: 346, games:1029,eta:2.903071620845583e-05
Last state: ((6, 2, 3, 1), -1) wins so far:684, lost: 346, games:1030,eta:2.874040904637127e-05
Last state: ((4, 5, 3, 1), -1) wins so far:685, lost: 346, games:1031,eta:2.8453004955907558e-05
Last state: ((1, 4, 2, 1), 1) wins so far:686, lost: 346, games:1032,eta:2.816847490634848e-05
Last state: ((1, 1, 2, 2), -1) wins so far:687, lost: 346, games:1033,eta:2.7886790157284997e-05
Last state: ((1, 0, 2, 2), -1) wins so far:688, lost: 346, games:1034,eta:2.7607922255712146e-05
Last state: ((5, 4, 2, 1), 1) wins so far:689, lost: 346, games:1035,eta:2.7331843033155023e-05
Last state: ((0, 5, 2, 1), 1) wins so far:690, lost: 346, games:1036,eta:2.7058524602823473e-05
Last state: ((1, 0, 1, 2), 1) wins so far:691, lost: 346, games:1037,eta:2.678793935679524e-05
Last state: ((5, 4, 3, 1), 1) wins so far:692, lost: 346, games:1038,eta:2.6520059963227285e-05
Last state: ((5, 5, 2, 1), 1) wins so far:693, lost: 346, games:1039,eta:2.625485936359501e-05
Last state: ((6, 1, 2, 2), 1) wins so far:694, lost: 346, games:1040,eta:2.599231076995906e-05
Last state: ((4, 5, 3, 1), -1) wins so far:695, lost: 346, games:1041,eta:2.5732387662259468e-05
Last state: ((2, 5, 2, 3), -1) wins so far:695, lost: 347, games:1042,eta:2.5475063785636874e-05
Last state: ((1, 0, 1, 2), 1) wins so far:696, lost: 347, games:1043,eta:2.5220313147780505e-05
Last state: ((4, 1, 2, 1), -1) wins so far:696, lost: 348, games:1044,eta:2.49681100163027e-05
Last state: ((5, 4, 3, 1), 1) wins so far:697, lost: 348, games:1045,eta:2.4718428916139672e-05
Last state: ((1, 1, 1, 2), -1) wins so far:698, lost: 348, games:1046,eta:2.4471244626978274e-05
Last state: ((5, 5, 2, 1), 1) wins so far:699, lost: 348, games:1047,eta:2.4226532180708493e-05
Last state: ((5, 4, 3, 1), 1) wins so far:700, lost: 348, games:1048,eta:2.3984266858901407e-05
Last state: ((4, 4, 3, 1), 1) wins so far:701, lost: 348, games:1049,eta:2.3744424190312394e-05
Last state: ((3, 4, 2, 3), 1) wins so far:701, lost: 349, games:1050,eta:2.350697994840927e-05
Last state: ((1, 1, 2, 1), -1) wins so far:702, lost: 349, games:1051,eta:2.3271910148925174e-05
Last state: ((4, 5, 3, 1), -1) wins so far:703, lost: 349, games:1052,eta:2.3039191047435922e-05
Last state: ((2, 0, 1, 2), -1) wins so far:704, lost: 349, games:1053,eta:2.2808799136961563e-05
Last state: ((5, 5, 2, 1), 1) wins so far:705, lost: 349, games:1054,eta:2.258071114559195e-05
Last state: ((0, 0, 2, 2), -1) wins so far:706, lost: 349, games:1055,eta:2.235490403413603e-05
Last state: ((1, 0, 2, 2), -1) wins so far:707, lost: 349, games:1056,eta:2.213135499379467e-05
Last state: ((0, 4, 2, 1), -1) wins so far:708, lost: 349, games:1057,eta:2.1910041443856724e-05
Last state: ((1, 0, 2, 2), -1) wins so far:709, lost: 349, games:1058,eta:2.1690941029418157e-05
